College_Name,City,Student_Pop,,
Palo Alto University,Palo Alto,"1,250",,
Pardee RAND Graduate School,Santa Monica,104,,
Pepperdine University,Malibu,"8,276",,
Phillips Graduate Institute,Chatsworth,261,,
Pitzer College,Claremont,"1,100",,
Platt College-Los Angeles,Alhambra,"1,075",,
Platt College-Ontario,Ontario,648,,
Platt College-Riverside,Riverside,557,,
Platt College-San Diego,San Diego,318,,
Point Loma Nazarene University,San Diego,"4,015",,
Pomona College,Claremont,"1,664",,
Providence Christian College,Pasadena,103,,
Rudolf Steiner College,Fair Oaks,196,,
SUM Bible College and Theological Seminary,Oakland,635,,
Saint Mary's College of California,Moraga,"4,738",,
Samuel Merritt University,Oakland,"2,023",,
San Diego Christian College,Santee,"1,209",,
San Diego State University,San Diego,"35,802",,
San Diego State University-Imperial Valley Campus,,0,,
San Francisco Art Institute,San Francisco,801,,
San Francisco Conservatory of Music,San Francisco,406,,
San Francisco State University,San Francisco,"32,146",,
San Francisco Theological Seminary,San Anselmo,192,,
San Joaquin College of Law,Clovis,177,,
San Jose State University,San Jose,"34,446",,
Sanford-Burnham Medical Research Institute,La Jolla,33,,
Santa Barbara Business College-Bakersfield,Bakersfield,939,,
Santa Barbara Business College-Santa Maria,Santa Maria,320,,
Santa Barbara Business College-Ventura,Ventura,621,,
Santa Clara University,Santa Clara,"10,137",,
Saybrook University,Oakland,645,,
Scripps College,Claremont,"1,055",,
Shasta Bible College and Graduate School,Redding,66,,
Simpson University,Redding,"1,505",,
Sofia University,Palo Alto,426,,
Soka University of America,Aliso Viejo,423,,
Sonoma State University,Rohnert Park,"9,614",,
South Baylo University,Anaheim,901,,
Southern California Institute of Architecture,Los Angeles,529,,
Southern California Institute of Technology,Anaheim,808,,
Southern California Seminary,El Cajon,332,,
Southern California University SOMA,Los Angeles,137,,
Southern California University of Health Sciences,Whittier,"1,652",,
Southwestern Law School,Los Angeles,"1,191",,
St John's Seminary,Camarillo,107,,
Stanbridge College,Irvine,"1,669",,
Stanford University,Stanford,"19,774",,
Starr King School for Ministry,Berkeley,106,,
The Art Institute of California-Argosy University Hollywood,North Hollywood,"2,117",,
The Art Institute of California-Argosy University Inland Empire,San Bernardino,"2,751",,
The Art Institute of California-Argosy University Los Angeles,Santa Monica,"1,871",,
The Art Institute of California-Argosy University Orange County,Santa Ana,"1,917",,
The Art Institute of California-Argosy University Sacramento,Sacramento,"1,370",,
The Art Institute of California-Argosy University San Diego,San Diego,"2,361",,
The Art Institute of California-Argosy University San Francisco,San Francisco,"1,452",,
The Art Institute of California-Argosy University-Silicon Valley,Sunnyvale,550,,
The California Maritime Academy,Vallejo,"1,065",,
The Chicago School of Professional Psychology at Irvine,Irvine,291,,
The Chicago School of Professional Psychology at Los Angeles,Los Angeles,"2,865",,
The Chicago School of Professional Psychology at Westwood,Los Angeles,0,,
The Master's College and Seminary,Santa Clarita,"1,756",,
The National Hispanic University,San Jose,0,,
The Santa Barbara and Ventura Colleges of Law-Ventura,Ventura,111,,
The Santa Barbara and Ventura Colleges of LawñSanta Barbara,Santa Barbara,86,,
The University of America,Murrieta,0,,
The Wright Institute,Berkeley,445,,
Thomas Aquinas College,Santa Paula,380,,
Thomas Jefferson School of Law,San Diego,853,,
Touro University California,Vallejo,"1,536",,
Touro University Worldwide,Los Alamitos,856,,
Trident University International,Cypress,"12,438",,
Trinity Law School,Santa Ana,219,,
United States University,Chula Vista,653,,
Unitek College,Fremont,"1,210",,
University of Antelope Valley,Lancaster,"1,311",,
University of California-Berkeley,Berkeley,"40,514",,
University of California-Davis,Davis,"36,771",,
University of California-Hastings College of Law,San Francisco,"1,033",,
University of California-Irvine,Irvine,"32,069",,
University of California-Los Angeles,Los Angeles,"44,413",,
University of California-Merced,Merced,"6,568",,
University of California-Riverside,Riverside,"22,963",,
University of California-San Diego,La Jolla,"32,420",,
University of California-San Francisco,San Francisco,"3,210",,
University of California-Santa Barbara,Santa Barbara,"24,492",,
University of California-Santa Cruz,Santa Cruz,"18,922",,
University of East-West Medicine,Sunnyvale,369,,
University of La Verne,La Verne,"10,640",,
University of Phoenix-Bay Area Campus,,0,,
University of Phoenix-California,Costa Mesa,"28,993",,
University of Phoenix-Central Valley Campus,,0,,
University of Phoenix-Sacramento Valley Campus,,0,,
University of Phoenix-San Diego Campus,,0,,
University of Phoenix-Southern California Campus,,0,,
University of Redlands,Redlands,"6,255",,
University of San Diego,San Diego,"9,237",,
University of San Francisco,San Francisco,"12,281",,
University of Southern California,Los Angeles,"47,673",,
University of St Augustine for Health Sciences,San Marcos,"2,669",,
University of West Los Angeles,Inglewood,0,,
University of the Pacific,Stockton,"6,865",,
University of the West,Rosemead,390,,
Vanguard University of Southern California,Costa Mesa,"2,917",,
West Coast University-Los Angeles,North Hollywood,"2,178",,
West Coast University-Ontario,Ontario,"1,441",,
West Coast University-Orange County,Anaheim,"2,163",,
Western State College of Law at Argosy University,Fullerton,376,,
Western University of Health Sciences,Pomona,"4,004",,
Westminster Theological Seminary in California,Escondido,155,,
Westmont College,Santa Barbara,"1,370",,
Westwood College-Anaheim,Anaheim,935,,
Westwood College-Inland Empire,Upland,"1,332",,
Westwood College-Los Angeles,Los Angeles,"3,055",,
Westwood College-South Bay,Torrance,749,,
Whittier College,Whittier,"2,502",,
William Jessup University,Rocklin,"1,461",,
Woodbury University,Burbank,"2,086",,
World Mission University,Los Angeles,340,,
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,234,,
Yo San University of Traditional Chinese Medicine,Los Angeles,258,,
